"Site";"lat";"lon";"DA";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Passado";"C_Max";"Ano_Max";"Mediana";"SPI"
66010000;-15,0761;-57,1819;9250;"BARRA DO BUGRES";2023-06-13 13:30:00;2023-06-13 12:30:00;2023-06-13 11:30:00;82;-1;-7;-12;-12;2,2;2,2;103;134;"1991";101;-0,896962561852902
66070004;-16,0761;-57,7022;32400;"CÁCERES (DNPVN)";2023-06-13 14:00:00;2023-06-13 13:00:00;2023-06-13 12:00:00;185;-1;-26;-28;-69;16,6;18,6;165;350;"1982";252;-1,4096096721285
66120000;-17,1433;-57,3594;64000;"PORTO CONCEIÇÃO";2023-06-13 13:30:00;2023-06-13 12:30:00;2023-06-13 11:30:00;470;-1;-7;-11;-13;3;17,2;414;494;"1995";480;0,187672244518645
66125000;-17,6414;-57,6906;68900;"BELA VISTA DO NORTE";2023-06-06 07:00:00;2023-06-06 06:00:00;2023-06-06 05:00:00;554;0;2;9;16;0;0;;;;;
66260001;-15,6156;-56,1086;23500;"CUIABÁ";2023-06-13 14:00:00;2023-06-13 13:00:00;2023-06-13 12:00:00;131;0;-2;-5;-7;0;0;;194;"1974";138;0,302411189174433
66270000;-15,8697;-56,0761;25300;"SANTO ANTÔNIO DO LEVERGER";2023-06-13 13:45:00;2023-06-13 12:45:00;2023-06-13 11:45:00;278;-1;-4;-7;-10;0,6;1;281;371;"1974";352,5;-0,401678260915713
66280000;;;;"BARÃO DE MELGAÇO";2023-06-13 13:45:00;2023-06-13 12:45:00;2023-06-13 11:45:00;241;-2;-9;-12;-28;1,2;1,6;238;;"1992";290;-0,558195901419958
66460000;-16,6081;-55,2064;23000;"ACIMA DO CÓRREGO GRANDE";2023-06-13 12:15:00;2023-06-13 11:15:00;2023-06-13 10:15:00;85;-1;-5;-13;-23;2,6;5,2;88;160;"1997";115;-1,29521020242624
66470000;-16,9253;-56,2236;24100;"SÃO JOSÉ DO BORIRÉU";2023-03-17 07:00:00;2023-03-17 06:00:00;2023-03-17 05:00:00;348;0;1;1;1;0;0;;;;;
66600000;-17,2017;-56,0086;23300;"SÃO JERÔNIMO";2023-06-13 13:45:00;2023-06-13 12:45:00;2023-06-13 11:45:00;257;0;-2;-11;-29;0;0;;;;;
66650000;-17,2917;-56,3872;30000;"SÃO JOSÉ DO PIQUIRI";2023-06-13 14:00:00;2023-06-13 13:00:00;2023-06-13 12:00:00;247;2;-3;-23;-47;0;2,2;209;312;"1977";279;-0,199804990186747
66710000;-17,3656;-56,7747;95200;"POUSADA TAIAMÃ  (Ex-Porto Jofre)";2023-06-13 14:00:00;2023-06-13 13:00:00;2023-06-13 12:00:00;372;-2;-26;-64;-98;0;0;311;467;"2003";407;-0,0302569782353773
66810000;-18,3939;-57,3911;243000;"PORTO SÃO FRANCISCO";2023-06-13 14:00:00;2023-06-13 13:00:00;2023-06-13 12:00:00;815;2;119;130;143;2;4,2;632;768;"1995";725;0,690711986201688
66825000;-19,0017;-57,5942;253000;"LADÁRIO";2023-06-12 07:00:00;2023-06-12 06:00:00;2023-06-12 05:00:00;369;;12;21;28;15,8;24,2;257;549;"1988";440;-0,552976468963625
66870000;-18,5078;-54,7619;27600;"COXIM";2023-06-13 13:30:00;2023-06-13 12:30:00;2023-06-13 11:30:00;382;-1;-9;-11;0;0,2;0,6;389;361;"2011";309;1,38165170377783
66900000;-20,7619;-56,0911;11600;"ESTRADA MT-738";2023-06-13 13:45:00;2023-06-13 12:45:00;2023-06-13 11:45:00;171;9;-19;-316;11;43,8;48,8;;;;;
66910000;-20,2408;-56,3992;15000;"MIRANDA";2023-06-13 14:00:00;2023-06-13 13:00:00;2023-06-13 12:00:00;448;-31;-97;26;25;34;34,4;314;689;"1992";277;3,02957072131936
66941000;-20,4481;-55,4281;10900;"PALMEIRAS";2023-06-13 13:30:00;2023-06-13 12:30:00;2023-06-13 11:30:00;201;15;-1;-54;10;15,8;22,6;189;207;"2011";183;0,226825317659335
66945000;-20,4783;-55,8014;15700;"AQUIDAUANA";2023-06-13 14:00:00;2023-06-13 13:00:00;2023-06-13 12:00:00;275;19;-8;-117;15;21,4;28,6;;;;;
66960008;-19,6006;-57,4372;371000;"PORTO ESPERANÇA";2023-06-13 14:00:00;2023-06-13 13:00:00;2023-06-13 12:00:00;339;5;10;12;13;0;0;;;;;
66970000;-19,9203;-57,7917;372000;"FORTE COIMBRA";2023-06-11 07:00:00;2023-06-11 06:00:00;2023-06-11 05:00:00;281;1;3;6;-3;0;0;127;523;"1988";377;-1,07590920906663
67100000;-21,7003;-57,8911;576000;"PORTO MURTINHO";2023-06-12 07:00:00;2023-06-12 06:00:00;2023-06-12 05:00:00;456;;-6;-2;-7;1,4;6;313;949;"1982";517;-0,783163229435965
